Publication Date,FSIA
2000-03-23,98.63544097451135
2000-05-18,98.50613179386873
2000-06-29,99.45543057030875
2000-08-24,99.07704119663643
2000-10-05,98.14140267104163
2000-11-16,99.18045960850904
2000-12-19,99.84720872963902
2000-12-21,99.30408444284528
2001-02-01,99.84720872963902
2001-03-20,99.67070030995085
2001-03-20,99.67070030995085
2001-03-22,99.81907578351823
2001-05-17,99.67070030995085
2001-06-28,100.9950434902959
2001-08-21,100.4015306577811
2001-08-21,100.4015306577811
2001-08-23,101.73241927647857
2001-10-04,100.4015306577811
2001-11-08,103.34242008630953
2001-12-13,100.80789287226436
2002-01-31,102.47182905111234
2002-03-21,99.66241823526732
2002-05-09,99.79440650997715
2002-06-27,99.52508988063136
2002-08-15,99.35630001331121
2002-09-26,100.37629267262209
2002-11-07,99.90022239605713
2002-12-12,100.39805442914216
2003-01-30,99.7641907566035
2003-03-18,100.58669776994769
2003-03-18,100.58669776994769
2003-03-18,100.58669776994769
2003-03-18,100.58669776994769
2003-03-20,99.03601587464915
2003-05-08,100.58669776994769
2003-06-26,100.35955036887077
2003-08-12,99.05289547172704
2003-08-14,100.22258765022512
2003-09-18,99.05289547172704
2003-10-30,98.46366240391728
2003-12-11,99.45543057030875
2004-01-29,99.14892960488935
2004-03-18,98.48115884015466
2004-05-06,99.68143633268873
2004-07-01,97.894072774439
2004-08-12,98.40220142057206
2004-09-23,98.1698524029373
2004-11-11,98.13953757120112
2004-12-16,98.2576302342739
2005-01-04,99.03747470837318
2005-02-23,97.67033838251285
2005-04-12,97.88633256120677
2005-05-24,99.62732368858681
2005-07-21,99.82447670371995
2005-08-30,98.01223255131757
2005-10-11,99.83358111205999
2005-11-22,100.31577503735274
2006-01-03,98.20613080812976
2006-02-21,98.61258938624846
2006-04-18,98.33309076122958
2006-05-31,98.20070826903797
2006-07-20,99.34148784128108
2006-08-29,99.05642613838742
2006-10-11,99.54830965073889
2006-11-15,100.1888248186108
2007-01-03,99.67824493962829
2007-02-21,98.45455293426457
2007-04-11,98.96301130768352
2007-05-30,100.1099378402148
2007-07-19,99.37965253678215
2007-08-28,100.5332671962462
2007-10-09,100.75695978949408
2007-10-09,100.75695978949408
2007-10-09,100.75695978949408
2007-11-20,99.78580506635329
2007-12-11,100.5246701610569
2008-01-02,100.5246701610569
2008-01-29,100.10704497978335
2008-01-29,100.10704497978335
2008-02-20,100.10704497978335
2008-03-18,101.1658860373129
2008-04-08,101.1658860373129
2008-05-21,100.54675976536274
2008-07-16,100.78197157121163
2008-08-05,101.6248734529619
2008-08-26,101.6248734529619
2008-10-07,101.81606602810264
2008-10-28,102.59104406784684
2008-10-28,102.59104406784684
2008-11-19,102.59104406784684
2009-01-06,101.73241927647857
2009-01-27,101.0822061990727
2009-02-18,101.0822061990727
2009-03-17,101.59201222910959
2009-04-08,101.59201222910959
2009-05-20,100.65049484220678
2009-06-23,100.4448771006052
2009-07-15,100.4448771006052
2009-09-02,100.84468439633922
2009-10-14,99.17734399550314
2009-11-24,100.15536732043019
2010-01-06,100.42331502391833
2010-02-17,99.35630001331121
2010-04-06,101.06354550308262
2010-05-19,100.32102321770866
2010-06-22,100.89756656239274
2010-07-14,100.89756656239274
2010-08-31,100.22411649688166
2010-10-12,99.71877674347954
2010-11-02,99.95028307350952
2010-11-23,99.95028307350952
2011-01-04,99.88988468995231
2011-02-16,99.48218712659161
2011-04-05,99.63907784297741
2011-05-18,99.75291008406344
2011-07-12,101.03284732116646
2011-08-09,101.43323416619701
2011-08-30,101.43323416619701
2011-10-12,101.10471718235843
2011-11-22,100.98437832624043
2011-12-13,100.479917916685
2012-01-03,100.479917916685
2012-02-15,99.9748320298015
2012-04-03,100.53641313205057
2012-05-16,100.25748917140629
2012-07-11,101.19352907038224
2012-08-22,100.65470031829504
2012-10-04,99.81105968090306
2012-11-14,99.6281856599088
2013-01-03,100.56738889996241
2013-02-20,99.32468202254238
2013-04-10,99.97138173320661
2013-05-22,99.60704201042265
2013-07-10,99.61962751606916
2013-08-21,99.85768855949557
2013-10-09,99.37752213113217
2013-10-29,100.06750371034329
2013-11-20,100.06750371034329
2014-01-08,99.34549947120591
2014-02-19,98.82216411283062
2014-03-18,99.39045192510665
2014-04-09,99.39045192510665
2014-05-21,99.46510547452023
2014-07-09,98.92858199338615
2014-08-20,98.89218528970035
2014-10-08,99.43017242343606
2014-11-19,99.45681820597255
2015-01-07,99.80896698154777
2015-02-18,99.75837960059786
2015-04-08,98.57441158811397
2015-05-20,100.2363172927486
2015-07-08,98.96051240583935
2015-08-19,99.30432747987216
2015-10-08,100.64660477682513
2015-11-18,100.01323680335
2016-01-06,100.61603997739786
2016-02-17,100.13140451767921
2016-04-06,100.02977571391719
2016-05-18,100.06329970986066
2016-07-06,99.82201605281723
2016-08-17,100.43582086373786
2016-10-12,98.9977623912734
2016-11-23,98.6934722238349
2017-01-04,98.60512430260712
2017-02-22,98.55820313038765
2017-04-05,99.03298055932012
2017-05-24,99.78323908947391
2017-07-05,99.70191736068101
2017-08-16,100.0475347080508
2017-10-11,99.3627241275746
2017-11-22,100.55075356582124
2018-01-03,99.30520875326525
2018-02-21,99.27111953393113
2018-04-11,99.97073085307974
2018-05-23,99.17626360042277
2018-07-05,99.1406855213741
2018-08-22,99.06518862753379
2018-10-17,98.60334793511274
2018-11-29,99.39587451873524
2019-01-09,99.89494138864603
2019-02-20,99.66562753920718
2019-04-10,99.53768784100885
2019-05-22,99.65062432679575
2019-07-10,100.81378712159935
2019-08-21,100.4584821637649
2019-10-09,100.60222921617517
2019-10-29,100.2501379806469
2019-11-20,100.2501379806469
2020-01-03,99.92007299129031
2020-02-19,99.99869747418334
2020-03-15,102.69799455491508
2020-03-15,102.69799455491508
2020-05-20,102.3745414084201
2020-07-01,101.00506473600976
2020-08-19,100.47255063522178
2020-10-07,99.26669551584497
2020-11-25,100.03270624100195
2021-01-06,99.83526578604416
2021-02-17,99.44363342904444
2021-04-07,99.18045960850904
2021-05-19,100.03187956688075
2021-07-07,99.06828555716972
2021-08-18,100.0475347080508
2021-10-13,99.26009724651756
2021-11-24,99.67593109396148
2022-01-05,98.75542279500817
2022-02-16,98.8076871606508
2022-04-06,100.01521078347666
2022-05-25,100.38535617540475
2022-07-06,101.48738458377287
2022-08-17,101.04774886881358
2022-10-12,101.30267139060429
2022-11-23,101.69383413369015
2023-01-04,101.8912862145375
2023-02-22,101.14959757041865
2023-04-12,100.63825121012907
2023-05-24,101.1953879420162
2023-07-05,99.99160492984574
2023-08-16,100.58979640823446
2023-10-11,100.12705728355182
2023-11-21,100.49683725963155
2024-01-03,100.99449524277254
2024-02-21,99.8824847911436
2024-04-10,99.44235167939104
2024-05-22,99.9720216741717
2024-07-03,99.80683691256112
2024-08-21,99.93032534676888
